aac00010,26,43,2,7,1,211,3.222748815,3.230769231,0,0,1,4.125757576,1.653846154,27,0,0.076923077,3.307692308,0.062418301,1.653846154,3.923076923,0.37519895,2.21011373,0.221153846
aac00020,27,52,2,10,1,226,3.411504425,3.851851852,0,0,0,4.516696061,1.925925926,26.62962963,0,0,3.851851852,0.036567364,1.925925926,4.074074074,0.399880441,2.168686658,0.290196943
aac00030,26,53,2,6,1,202,2.732673267,3.769230769,0,0,3,4.286492674,2.038461538,14.96153846,0,0.230769231,4.076923077,0.02660383,2.038461538,3.115384615,0.430367508,1.864288063,0.230311355
aac00040,20,28,1,8,1,65,2.523076923,2.6,0,0,1,2.936666667,1.4,4.95,0,0.1,2.8,0.014473685,1.4,2.45,0.481043625,1.4925,0.21
aac00051,15,33,1,4,2,85,1.858823529,4.4,0,0,0,5.284206349,2.2,5,0,0,4.4,0.026739926,2.2,2.333333333,0.518690631,1.532325637,0.267222222
aac00052,18,29,3,4,1,75,2.133333333,3,0,0,2,3.537037037,1.611111111,6.944444444,0,0.222222222,3.222222222,0.061111111,1.611111111,1.944444444,0.473543843,1.444753087,0.253571428
aac00061,46,74,1,4,1,337,2.611275964,3.086956522,0,0,2,4.114097497,1.586956522,11.80434783,0,0.086956522,3.173913043,0.005961791,1.586956522,1.086956522,0.325266388,0.890847153,0.058014932
aac00071,37,67,2,16,1,383,4.360313316,3.405405405,0,0,0,4.198648649,1.702702703,34.78378378,0,0,3.405405405,0.031001591,1.702702703,5.810810811,0.352584462,3.35465568,0.120827971
aac00072,8,14,1,2,1,19,1.263157895,3.5,0,0,0,4.483333333,1.75,0.875,0,0,3.5,0.014880953,1.75,0.875,0.409722223,0.623214286,0.39375
aac00130,12,11,2,6,1,29,2.310344828,1.833333333,0,0,0,2.166666667,0.916666667,3.166666667,0,0,1.833333333,0.118055557,0.916666667,2.166666667,0.46686508,1.444444444,0.069444445
aac00190,3,2,1,2,1,3,1.333333333,1.333333333,0,0,0,1.666666667,0.666666667,0.333333333,0,0,1.333333333,0.166666667,0.666666667,1,0.555555557,0.833333333,0
aac00230,65,126,4,7,1,253,1.924901186,3.723076923,0,0,0,4.107307692,1.861538462,3.938461538,0,0,3.723076923,0.01145242,1.861538462,2.076923077,0.552044456,1.346689422,0.26014652
aac00240,40,66,3,5,1,170,2.035294118,3.05,0,0,2,3.462916667,1.575,6.45,0,0.1,3.15,0.018842406,1.575,1.975,0.463335822,1.269940476,0.195
aac00250,42,218,2,5,1,522,1.862068966,10.19047619,0,0,4,11.92652858,5.19047619,27.14285714,0,0.19047619,10.38095238,0.007620403,5.19047619,2.285714286,0.490726686,1.372648695,0.304047982
aac00270,45,101,2,13,1,666,4.840840841,3.911111111,0,0,2,4.408932981,2,120.2888889,0,0.088888889,4,0.036438746,2,4.733333333,0.365006815,2.702144021,0.219162258
aac00280,22,25,5,5,1,49,1.816326531,2.272727273,0,0,0,2.965151515,1.136363636,1.818181818,0,0,2.272727273,0.02020202,1.136363636,1.409090909,0.545393929,0.954094516,0.16969697
aac00281,4,2,2,1,1,2,1,1,0,0,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0
aac00290,29,40,2,4,1,68,1.588235294,2.689655172,0,0,0,3.525287356,1.344827586,1.517241379,0,0,2.689655172,0.002122016,1.344827586,1.482758621,0.618530799,1.116091954,0.143103449
